brandName,providerName,locationName,line1,postCode,"Publication Date",serviceName,"Key Question","Latest Rating"
-,"06 Care Limited","06 Care Limited","Aireside House","BD21 4BZ",2018-01-13,Overall,Overall,Inadequate
-,"06 Care Limited","06 Care Limited","Aireside House","BD21 4BZ",2018-01-13,Overall,Safe,Inadequate
-,"06 Care Limited","06 Care Limited","Aireside House","BD21 4BZ",2018-01-13,Overall,Well-led,Inadequate
-,"142 Petts Hill Care Home","142 Petts Hill Care Home","142 Petts Hill","UB5 4NW",2017-10-07,Overall,Safe,Inadequate
-,"1st Class Care Agency Ltd","1st Class Nursing Agency","59 Wigan Road","L39 2AP",2016-12-02,Overall,Safe,Inadequate
-,"24HR Quality Care Ltd","24hr Quality Care","Pomfret Business Centre","WF8 1QY",2018-01-12,Overall,Well-led,Inadequate
-,"2XL Employment Ltd","2XL Employment Limited","Town Hall Approach Road","N15 4RY",2017-03-01,Overall,Effective,Inadequate
-,"2XL Employment Ltd","2XL Employment Limited","Town Hall Approach Road","N15 4RY",2017-03-01,Overall,Overall,Inadequate
-,"2XL Employment Ltd","2XL Employment Limited","Town Hall Approach Road","N15 4RY",2017-03-01,Overall,Safe,Inadequate
-,"2XL Employment Ltd","2XL Employment Limited","Town Hall Approach Road","N15 4RY",2017-03-01,Overall,Well-led,Inadequate
-,"9 Grace Road Ltd","9 Grace Road Limited - 9 Grace Road","9 Grace Road","LE2 8AD",2016-02-05,Overall,Effective,Inadequate
-,"9 Grace Road Ltd","9 Grace Road Limited - 9 Grace Road","9 Grace Road","LE2 8AD",2016-02-05,Overall,Overall,Inadequate
-,"9 Grace Road Ltd","9 Grace Road Limited - 9 Grace Road","9 Grace Road","LE2 8AD",2016-02-05,Overall,Safe,Inadequate
-,"9 Grace Road Ltd","9 Grace Road Limited - 9 Grace Road","9 Grace Road","LE2 8AD",2016-02-05,Overall,Well-led,Inadequate
-,"A & A Healthcare Services Limited","A & A Healthcare Services Limited","1st Floor, Sorrel Horse House","IP4 1LN",2018-01-16,Overall,Effective,Inadequate
-,"A & A Healthcare Services Limited","A & A Healthcare Services Limited","1st Floor, Sorrel Horse House","IP4 1LN",2018-01-16,Overall,Overall,Inadequate
-,"A & A Healthcare Services Limited","A & A Healthcare Services Limited","1st Floor, Sorrel Horse House","IP4 1LN",2018-01-16,Overall,Responsive,Inadequate
-,"A & A Healthcare Services Limited","A & A Healthcare Services Limited","1st Floor, Sorrel Horse House","IP4 1LN",2018-01-16,Overall,Safe,Inadequate
-,"A & A Healthcare Services Limited","A & A Healthcare Services Limited","1st Floor, Sorrel Horse House","IP4 1LN",2018-01-16,Overall,Well-led,Inadequate
-,"A. K. Medical Centre Limited","BMI Southend Private Hospital","15 Fairfax Drive","SS0 9AG",2017-01-26,Overall,Well-led,Inadequate
-,"A. K. Medical Centre Limited","BMI Southend Private Hospital","15 Fairfax Drive","SS0 9AG",2017-01-26,Surgery,Well-led,Inadequate
-,"ADR Care Homes Limited","St Nicholas Care Home","1-3 St Nicholas Place","NR26 8LE",2017-08-08,Overall,Well-led,Inadequate
-,"AJ & Co.(Devon) Ltd","Meadowside and St. Francis","5 Plymbridge Road","PL7 4LE",2017-08-26,Overall,Caring,Inadequate
-,"AJ & Co.(Devon) Ltd","Meadowside and St. Francis","5 Plymbridge Road","PL7 4LE",2017-08-26,Overall,Effective,Inadequate
-,"AJ & Co.(Devon) Ltd","Meadowside and St. Francis","5 Plymbridge Road","PL7 4LE",2017-08-26,Overall,Overall,Inadequate
-,"AJ & Co.(Devon) Ltd","Meadowside and St. Francis","5 Plymbridge Road","PL7 4LE",2017-08-26,Overall,Responsive,Inadequate
-,"AJ & Co.(Devon) Ltd","Meadowside and St. Francis","5 Plymbridge Road","PL7 4LE",2017-08-26,Overall,Safe,Inadequate
-,"AJ & Co.(Devon) Ltd","Meadowside and St. Francis","5 Plymbridge Road","PL7 4LE",2017-08-26,Overall,Well-led,Inadequate
-,"ASK Home Care Limited","ASK Home Care Limited","Unit 3, Pontefract Road","WF11 8PL",2017-09-20,Overall,Safe,Inadequate
-,"Abbeville RCH Limited","Abbeville Residential Care Home","58-60 Wellesley Road","NR30 1EX",2017-12-02,Overall,Effective,Inadequate
-,"Abbeville RCH Limited","Abbeville Residential Care Home","58-60 Wellesley Road","NR30 1EX",2017-12-02,Overall,Overall,Inadequate
-,"Abbeville RCH Limited","Abbeville Residential Care Home","58-60 Wellesley Road","NR30 1EX",2017-12-02,Overall,Safe,Inadequate
-,"Abbeville RCH Limited","Abbeville Residential Care Home","58-60 Wellesley Road","NR30 1EX",2017-12-02,Overall,Well-led,Inadequate
-,"Abbey Lawns Ltd","Abbey Lawns Care Home","3 Anfield Road","L4 0TD",2017-09-27,Overall,Well-led,Inadequate
-,"Abbey Road Surgery","Abbey Road Surgery","63 Abbey Road","EN8 7LJ",2017-06-28,Overall,Safe,Inadequate
-,"Alan Coggins Limited","Knyveton Hall Rest Home","34 Knyveton Road","BH1 3QR",2018-01-24,Overall,Safe,Inadequate
-,"Allambie Enterprises Limited","Allambie House","40-42 Coundon Road","CV1 4AW",2017-10-03,Overall,Overall,Inadequate
-,"Allambie Enterprises Limited","Allambie House","40-42 Coundon Road","CV1 4AW",2017-10-03,Overall,Safe,Inadequate
-,"Allambie Enterprises Limited","Allambie House","40-42 Coundon Road","CV1 4AW",2017-10-03,Overall,Well-led,Inadequate
-,"Alma Care (UK) Limited","Alma Care (UK)","9-19 Southbridge House","CR0 4HA",2018-01-10,Overall,Well-led,Inadequate
-,"Alo Care Ltd","Ado Lodge","53 Ramley Road","SO41 8GZ",2017-05-06,Overall,Well-led,Inadequate
-,"Anexas Care Limited","Stanholm Residential Care Home for the Elderly","Mill Hill","TN8 5DB",2018-01-17,Overall,Effective,Inadequate
-,"Anexas Care Limited","Stanholm Residential Care Home for the Elderly","Mill Hill","TN8 5DB",2018-01-17,Overall,Overall,Inadequate
-,"Anexas Care Limited","Stanholm Residential Care Home for the Elderly","Mill Hill","TN8 5DB",2018-01-17,Overall,Responsive,Inadequate
-,"Anexas Care Limited","Stanholm Residential Care Home for the Elderly","Mill Hill","TN8 5DB",2018-01-17,Overall,Safe,Inadequate
-,"Anexas Care Limited","Stanholm Residential Care Home for the Elderly","Mill Hill","TN8 5DB",2018-01-17,Overall,Well-led,Inadequate
-,"Anglia Care Homes Limited","Bellevue Residential Care home","51 Church Road","CO15 6BQ",2018-01-12,Overall,Overall,Inadequate
-,"Anglia Care Homes Limited","Bellevue Residential Care home","51 Church Road","CO15 6BQ",2018-01-12,Overall,Safe,Inadequate
-,"Anglia Care Homes Limited","Bellevue Residential Care home","51 Church Road","CO15 6BQ",2018-01-12,Overall,Well-led,Inadequate
-,"Annies Homecare Services Ltd","Annies Homecare Services Ltd","Lower Farm","CM3 6EG",2018-01-10,Overall,Well-led,Inadequate
-,"Apex Community Care Limited","Apex Community Care Ltd","9 Norfolk Street","SR1 1EA",2017-10-07,Overall,Effective,Inadequate
-,"Apex Community Care Limited","Apex Community Care Ltd","9 Norfolk Street","SR1 1EA",2017-10-07,Overall,Overall,Inadequate
-,"Apex Community Care Limited","Apex Community Care Ltd","9 Norfolk Street","SR1 1EA",2017-10-07,Overall,Safe,Inadequate
-,"Apex Community Care Limited","Apex Community Care Ltd","9 Norfolk Street","SR1 1EA",2017-10-07,Overall,Well-led,Inadequate
-,"Appleby Rest Homes Limited","Appleby Lodge","Launceston Road","PL17 8DU",2017-11-07,Overall,Overall,Inadequate
-,"Appleby Rest Homes Limited","Appleby Lodge","Launceston Road","PL17 8DU",2017-11-07,Overall,Safe,Inadequate
-,"Appleby Rest Homes Limited","Appleby Lodge","Launceston Road","PL17 8DU",2017-11-07,Overall,Well-led,Inadequate
-,"Appollo Homes Limited","Meadow Dean","35 Lower Road","CT17 0QT",2017-12-20,Overall,Well-led,Inadequate
-,"Arborough House Ltd","Arborough House Limited","7 Yarborough Road","PO5 3DZ",2017-10-19,Overall,Overall,Inadequate
-,"Arborough House Ltd","Arborough House Limited","7 Yarborough Road","PO5 3DZ",2017-10-19,Overall,Safe,Inadequate
-,"Arborough House Ltd","Arborough House Limited","7 Yarborough Road","PO5 3DZ",2017-10-19,Overall,Well-led,Inadequate
-,"Archers Healthcare Limited","Lower Farm Care Home with Nursing","126 Grimston Road","PE30 3PB",2018-01-23,Overall,Safe,Inadequate
-,"Aryaa Care Limited","Ambleside Residential Home","60 Hart Hill Drive","LU2 0AY",2017-09-30,Overall,Overall,Inadequate
