brandName,providerName,locationName,line1,postCode,"Publication Date",serviceName,"Key Question","Latest Rating"
-,"06 Care Limited","06 Care Limited","Aireside House","BD21 4BZ",2018-01-13,Overall,Overall,Inadequate
-,"2XL Employment Ltd","2XL Employment Limited","Town Hall Approach Road","N15 4RY",2017-03-01,Overall,Overall,Inadequate
-,"9 Grace Road Ltd","9 Grace Road Limited - 9 Grace Road","9 Grace Road","LE2 8AD",2016-02-05,Overall,Overall,Inadequate
-,"A & A Healthcare Services Limited","A & A Healthcare Services Limited","1st Floor, Sorrel Horse House","IP4 1LN",2018-01-16,Overall,Overall,Inadequate
-,"AJ & Co.(Devon) Ltd","Meadowside and St. Francis","5 Plymbridge Road","PL7 4LE",2017-08-26,Overall,Overall,Inadequate
-,"Abbeville RCH Limited","Abbeville Residential Care Home","58-60 Wellesley Road","NR30 1EX",2017-12-02,Overall,Overall,Inadequate
-,"Allambie Enterprises Limited","Allambie House","40-42 Coundon Road","CV1 4AW",2017-10-03,Overall,Overall,Inadequate
-,"Anexas Care Limited","Stanholm Residential Care Home for the Elderly","Mill Hill","TN8 5DB",2018-01-17,Overall,Overall,Inadequate
-,"Anglia Care Homes Limited","Bellevue Residential Care home","51 Church Road","CO15 6BQ",2018-01-12,Overall,Overall,Inadequate
-,"Apex Community Care Limited","Apex Community Care Ltd","9 Norfolk Street","SR1 1EA",2017-10-07,Overall,Overall,Inadequate
-,"Appleby Rest Homes Limited","Appleby Lodge","Launceston Road","PL17 8DU",2017-11-07,Overall,Overall,Inadequate
-,"Arborough House Ltd","Arborough House Limited","7 Yarborough Road","PO5 3DZ",2017-10-19,Overall,Overall,Inadequate
-,"Aryaa Care Limited","Ambleside Residential Home","60 Hart Hill Drive","LU2 0AY",2017-09-30,Overall,Overall,Inadequate
-,"As U Care Ltd","The Chimes","83 Park Road","FY8 1PW",2017-10-21,Overall,Overall,Inadequate
-,"Ashley Down Care Home Limited","Ashley Down Nursing Home","29 Clarence Place","DA12 1LD",2017-08-22,Overall,Overall,Inadequate
-,"Ashley House Care Limited","Ashley House","Ashley House Care Limited","CM2 9AQ",2017-05-17,Overall,Overall,Inadequate
-,"Ashwood Court Healthcare Ltd","The Grange Care Home","22 Cornwallis Avenue","CT19 5JB",2017-10-19,Overall,Overall,Inadequate
-,"Asprey Healthcare Limited","Smallbrook Care Home","Suffolk Close","RH6 7DU",2017-10-31,Overall,Overall,Inadequate
-,"Avens Care Homes Limited","Prestbury Court Residential Home","Brimley Lane","TQ13 9JS",2017-12-07,Overall,Overall,Inadequate
